0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,file name,label,label_updated
-66.33703,104.54362,-6.8210783,19.063005,-16.206142,-5.7282314,-16.659893,2.3939795,-9.631871,1.0006946,-10.224957,11.085832,0.42597798,8.268185,-8.422418,0.40044463,-6.385726,9.209396,4.6271086,13.861751,2.095032,8.642138,-2.5052376,4.727844,-3.3678737,2.0258186,-3.050983,4.4220643,-3.6498134,1.8090724,-6.5781155,-2.766046,-8.775088,-2.8315408,-6.219168,0.31119046,-1.8085369,2.1239288,-2.2328486,0.3767669,-1.7757092,1.4776468,-1.9954236,-0.15886994,-2.0569167,-0.30839574,-1.665876,-0.49140626,-1.2570627,-0.16745952,2022-06-05--17-41-01_2__segment0.wav,0,2
-74.22612,107.100174,-9.626637,20.532022,-17.904837,-3.4541543,-18.436829,5.250828,-10.701803,3.7156699,-11.7585125,14.061428,-1.0279726,10.396622,-10.399224,2.814471,-9.1272955,10.085975,2.003174,15.776719,-0.37733877,11.394229,-3.543301,6.7948585,-5.7647514,4.7250657,-4.686969,6.6978207,-5.927784,3.1134508,-8.926881,-0.29639766,-10.463553,-1.175528,-8.370392,1.4364351,-4.4721045,3.462774,-4.345588,2.5675538,-3.9802787,3.005911,-3.25514,2.4655724,-3.2494173,1.9055204,-3.6528924,0.911069,-3.2379355,1.7260302,2022-06-05--17-41-01_2__segment1.wav,0,2
-76.172615,107.03051,-9.781359,19.86867,-18.076485,-3.14929,-18.544992,5.023082,-10.912395,3.92066,-12.019331,13.6176605,-1.4309667,10.518857,-9.655888,3.315709,-9.381688,9.796115,2.7228527,16.4232,-1.2932853,10.510869,-2.9734163,7.5722585,-5.7530017,4.399892,-5.1654043,6.8559346,-6.063999,3.8577769,-8.44542,-0.22727317,-10.792441,-0.999801,-7.5926585,2.4214184,-4.181898,2.926692,-5.6783924,1.6886481,-4.346309,2.9929788,-3.244607,2.7349803,-3.0121524,2.413225,-3.494409,0.97766197,-3.531828,1.4951526,2022-06-05--17-41-01_2__segment2.wav,0,2
-73.08985,108.87943,-8.997672,20.298203,-19.325748,-3.5024393,-18.848642,4.354271,-11.729568,3.4497159,-11.873942,13.457784,-1.8399094,10.175586,-9.30795,3.878916,-9.222148,9.421288,2.7209492,17.548183,0.03821585,10.031806,-3.6201673,7.2860637,-6.0451603,4.0275693,-5.1588144,6.5262914,-5.4388022,3.9365656,-8.317969,0.641113,-10.1229925,-0.9344561,-8.075702,1.796937,-5.132608,3.0188146,-4.5727296,2.665063,-4.123209,2.7052062,-3.5691566,1.9693317,-3.804842,1.3324472,-3.9019144,1.1917282,-3.192922,1.9559662,2022-06-05--17-41-01_2__segment3.wav,0,2
-74.11006,107.04064,-8.366655,20.212887,-20.930727,-4.562377,-18.466211,3.7463384,-12.104403,3.7932167,-11.842854,13.304809,-1.3393518,9.689239,-10.154898,2.66836,-9.3266535,8.827205,1.8853464,16.687864,0.71199703,10.965437,-3.117097,7.744016,-5.4839644,4.4980564,-5.1552987,6.505299,-5.292048,3.498752,-8.753853,0.74104893,-10.385324,-1.3862807,-7.954181,1.9539566,-4.774743,2.3348064,-5.144049,2.6054718,-3.4812071,2.9804797,-3.3351731,2.7817287,-2.9494822,1.9181559,-3.7897997,0.5386069,-3.779394,1.4392086,2022-06-05--17-41-01_2__segment4.wav,0,2
-75.25554,103.95374,-2.43787,21.827917,-9.796007,-5.768703,-11.0479765,2.3538823,-12.006072,0.29976106,-6.3436728,13.661741,0.4838892,11.570337,-5.300212,0.77044773,-11.255636,2.968598,-4.387479,8.806768,-1.3594624,9.050209,1.8635558,10.308803,0.77629274,5.722025,-2.4278798,5.850308,-0.63507354,5.0341625,-2.4709535,1.795666,-5.5193043,-1.0577449,-6.4276886,-0.81150264,-5.437826,-1.6453384,-5.701838,-1.4044728,-4.049389,0.16520207,-1.6910772,1.2009261,-2.2020824,-0.3255144,-1.6752325,0.28386575,-1.1865815,0.16007695,2022-06-05--19-39-14_2__segment0.wav,0,0
-79.207565,107.79364,-6.2948046,23.742659,-11.980271,-3.5930967,-13.244075,3.8508244,-14.775637,1.8098224,-8.262702,15.035606,-0.70412475,13.280854,-7.8154297,2.5807254,-12.779586,5.769797,-5.759623,11.744383,-3.1859806,9.8985,-1.5448618,12.211583,-1.6816334,7.331623,-4.5586553,8.235029,-2.3554335,7.261918,-4.395025,4.278907,-6.9080915,1.3005452,-7.973317,1.2853289,-6.9496727,0.76491016,-7.7741385,0.16485585,-6.2870593,1.4116277,-4.1579056,2.7635095,-3.6686194,1.7789723,-3.5425513,1.3602297,-3.7293324,1.7034363,2022-06-05--19-39-14_2__segment1.wav,0,0
-80.50921,107.95107,-6.6162643,24.71351,-11.042446,-3.0473,-12.497045,3.700274,-15.849367,1.8452157,-8.3445015,14.994186,-1.4416975,13.386728,-7.6638455,2.378785,-12.767337,6.0068307,-5.41417,11.148971,-3.7167442,10.658719,-1.1407291,11.846088,-0.9879797,8.164302,-4.1864543,7.601092,-3.4934702,6.324732,-4.4134426,4.368135,-6.5315757,1.3561429,-7.562436,1.5044857,-6.8789744,1.0055476,-7.3008604,0.0893147,-6.50437,1.0853058,-4.4399576,2.580956,-3.7277038,1.8950365,-3.5014093,1.5067962,-3.4128907,1.491767,2022-06-05--19-39-14_2__segment2.wav,0,0
-79.42451,107.55405,-5.6023946,24.223476,-11.696604,-3.3374357,-12.660436,3.858186,-15.626145,1.3005722,-8.960717,13.796397,-2.328443,12.961185,-6.9630384,3.6203701,-11.997972,6.172797,-5.003745,12.108217,-3.4697878,9.708782,-2.4848764,10.435205,-1.8456373,7.5985813,-4.526435,8.123585,-3.0782886,6.964893,-4.2007623,3.8269317,-6.865581,1.6342039,-6.61993,2.3098412,-5.6935406,1.8691453,-6.6748285,0.157016,-6.3190446,1.4673648,-4.1621413,1.5259495,-5.242197,0.4270852,-4.626861,0.5937215,-3.7651503,1.3098584,2022-06-05--19-39-14_2__segment3.wav,0,0
-81.282166,106.51974,-6.144381,24.545555,-11.458496,-2.0050287,-13.240617,4.570969,-15.144679,1.3511205,-8.060421,14.252382,-1.7335348,12.994152,-7.6253333,3.8810184,-11.7644205,5.8535495,-4.941288,11.686673,-4.7248487,7.4363904,-4.218624,9.828084,-2.24259,8.943412,-3.4535773,8.127666,-2.293769,7.458233,-4.137445,4.0721836,-7.278896,0.8939438,-7.212139,2.098723,-5.853552,2.7795408,-5.722971,0.8394177,-6.212809,0.5048397,-5.0319066,1.3751702,-5.2416544,0.35434657,-4.295471,1.2115624,-3.6235526,1.7085509,2022-06-05--19-39-14_2__segment4.wav,0,0
-81.37853,106.24186,-2.8196654,21.349312,-11.183108,-5.327996,-11.630381,1.179999,-13.199087,-0.68512225,-6.4788246,11.06687,-0.65511847,9.497221,-5.7717934,0.67524654,-9.905213,3.8726668,-2.6806464,11.085275,0.7502737,8.952795,0.67129576,8.343141,-1.3803117,4.314089,-2.3422732,6.7919874,-0.07421887,5.0429635,-1.7988617,1.9368683,-5.3214617,-1.4834015,-5.7007837,-0.66094357,-4.6159873,-0.6246848,-4.423006,-0.7708553,-2.8293793,0.6568469,-0.8887604,1.0486884,-2.0902712,-0.64990497,-2.061447,-0.50809294,-1.9527125,-0.5685451,2022-06-05--20-38-25_2__segment0.wav,0,0
-82.37824,110.07768,-4.304443,24.004892,-13.228864,-3.175434,-12.733527,3.7117093,-15.3394575,0.48061317,-9.081092,12.836696,-3.3141425,12.159484,-8.294651,3.0455298,-11.6223955,6.4704266,-4.5350504,13.622149,-1.074728,11.116656,-1.2060634,10.669367,-1.9688889,7.1440115,-4.132116,8.573942,-2.4128597,6.586834,-4.2612143,3.7433484,-6.974174,0.5685488,-8.326576,0.64370173,-6.782297,1.3116347,-6.456191,0.8200284,-5.681352,1.6326401,-3.7606392,2.135268,-4.273172,0.9602614,-3.9637873,1.2959788,-3.2065935,1.8978876,2022-06-05--20-38-25_2__segment1.wav,0,0
-79.361855,109.629005,-4.8703103,22.942545,-12.603782,-2.1108932,-11.850347,3.5987124,-16.969414,-0.9003123,-10.283184,12.83377,-3.1282477,12.638888,-8.355047,3.0042808,-11.705195,7.860841,-2.672793,15.523731,-1.072438,11.284063,-1.7189561,10.393933,-2.8220959,6.46251,-5.4538283,7.3765574,-2.779564,6.329291,-4.7892427,3.033013,-7.509463,0.48272517,-7.840129,1.573535,-5.931185,2.4590044,-5.637355,1.4417608,-5.207547,2.1370635,-3.4101791,2.5522604,-4.617127,0.21363686,-5.010208,0.22265795,-4.517776,0.9527745,2022-06-05--20-38-25_2__segment2.wav,0,0
-81.02181,110.04544,-4.7654376,22.956009,-12.624855,-2.6830676,-11.386916,4.7550244,-15.4055195,0.2551391,-9.765646,14.30332,-2.3960335,12.937123,-9.29846,1.5877329,-13.467555,6.5687685,-4.4712806,13.9853325,-0.11701549,12.073433,-1.1309755,11.192869,-2.8238304,6.7548256,-4.6415935,7.4293075,-2.641119,7.048422,-4.0844417,4.181324,-7.124999,0.7696445,-7.6474996,1.2033988,-7.188848,1.4258614,-6.6145945,0.5242743,-5.978159,1.5602819,-3.6233966,2.3902378,-4.6129932,0.82188207,-4.277053,0.8535946,-4.116528,1.2696716,2022-06-05--20-38-25_2__segment3.wav,0,0
-84.54844,109.38978,-3.3085864,21.417086,-12.8666,-2.3129857,-12.020085,5.723332,-15.394964,0.73844796,-9.182673,14.546288,-1.9956498,13.254906,-7.556098,4.2423577,-12.209313,6.2288117,-5.4334083,11.651994,-2.0011606,11.333511,-0.89351994,10.231611,-3.135659,6.2003765,-4.696977,8.255827,-2.2248158,7.580479,-3.8308542,3.6253316,-7.1567054,1.7248024,-6.998151,2.1669834,-6.385517,1.215511,-7.1475997,-0.5048692,-6.7762775,0.8996438,-4.162607,2.1891642,-4.1494627,1.0487592,-3.7479994,1.1291461,-3.6178272,1.4372474,2022-06-05--20-38-25_2__segment4.wav,0,0
-75.89824,100.17158,-5.143496,15.801198,-12.530492,-3.5020945,-11.381153,1.012836,-18.102095,-3.288401,-9.411543,9.990312,-0.053821888,9.448048,-5.4604025,2.9045637,-8.223187,5.1834116,-3.5677238,8.429051,-1.5331446,7.472699,-0.937358,6.934879,-1.7947034,5.8689947,0.050938897,8.807124,1.2307446,6.7372227,-1.6674356,2.9640982,-4.0683045,0.21710843,-5.151535,-0.19176285,-4.1554785,0.18718287,-4.090222,-0.6165381,-3.186293,0.44231778,-1.5234685,1.1365472,-2.1345556,-0.38735786,-2.13803,-0.4676053,-1.6869229,0.22285077,2022-06-05--21-37-36_2__segment0.wav,0,0
-80.09029,105.61718,-6.393334,17.865555,-15.427618,-1.2182002,-13.103652,2.6171458,-20.565308,-2.2978594,-10.994258,12.942614,-1.8270979,11.976788,-8.457648,3.6019702,-10.659971,8.161314,-3.309833,13.037981,-3.110816,8.698185,-3.948898,8.187813,-4.466012,6.5327115,-3.4279141,9.638095,-2.0690868,7.8547597,-3.8471076,4.3704977,-6.528809,2.1034374,-6.679597,2.648906,-5.46611,2.5539148,-5.4400225,1.8412178,-5.2505736,1.9472615,-3.9320629,1.69929,-5.108654,0.047379646,-5.2804317,-0.14329246,-4.5476017,1.3136855,2022-06-05--21-37-36_2__segment1.wav,0,0
